time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,temp,pressure,humidity,Year,month,day
2015-January-01,10205,5849,100507,98387,3876,26117,25366,53977,170338,1016,1764,27448,4825,95856,25188,94618,594078,575207,45.03166667,62.09083333,277.0012065,1022.125,75.46666667,2015,January,1
2015-January-02,9357,0,85588,30195,4820,36260,31200,89007,170530,1095,1487,30061,4478,265441,28493,266809,660466,652525,17.59833333,69.44375,277.9512172,1024.691667,77.89166667,2015,January,2
2015-January-03,10485,0,82843,33023,5515,32666,33073,93538,170279,1876,1580,27501,4856,219294,27201,218722,612020,602346,25.34208333,65.22333333,278.8297266,1020.375,78.01666667,2015,January,3
2015-January-04,9513,326,84627,55567,8559,13765,35566,77887,166957,1969,1393,57659,3819,192387,55009,192548,652029,650518,30.65833333,58.91208333,279.6433542,1016.008333,77.35833333,2015,January,4
2015-January-05,6295,955,77277,45763,5387,19196,19399,42338,67637,724,1243,18396,2630,121272,41830,182604,536648,404712,39.2075,74.59833333,279.0467518,1014.033333,81.175,2015,January,5
2015-January-06,12853,22120,108298,161178,7959,5254,19617,74584,117498,2067,1574,54969,5596,62884,54681,63223,658764,674071,56.05083333,68.67875,278.3621276,1009.049587,84.04132231,2015,January,6
2015-January-07,11930,21859,128741,189465,8869,3661,17352,48577,144389,2076,1287,54420,5269,138486,53659,138719,777327,766790,59.0275,79.04625,278.6092531,1019.158333,81.75833333,2015,January,7
2015-January-08,12384,13464,107891,165582,7529,9307,15869,37954,161900,2022,1615,54838,5674,84404,54033,85388,654344,632197,53.94791667,78.55916667,279.0489065,1024.933333,77.96666667,2015,January,8
2015-January-09,11637,21018,137559,180019,8443,4241,14495,48765,163764,2009,1655,39406,5942,100546,37305,100576,721030,729678,57.80875,76.3525,280.1111375,1031.4,73.10833333,2015,January,9
2015-January-10,13417,19921,129639,170601,9738,4560,11745,60240,143074,2076,1709,43442,5995,57384,41522,57191,666884,669339,57.23625,68.21208333,281.6473461,1023.108333,68.725,2015,January,10
2015-January-11,12710,917,95794,56034,5235,39103,15541,23821,121342,2002,1554,15116,6296,228516,16944,227718,557740,553523,32.94,59.53125,281.8508813,1019.083333,72.80833333,2015,January,11
2015-January-12,11419,22349,215346,173066,9733,6089,19556,75092,132705,2217,1653,21289,5545,36607,21795,36545,753831,753070,64.5225,71.37291667,280.8508412,1019.091667,76.86666667,2015,January,12
2015-January-13,12596,20480,147019,160557,7772,13335,22406,61746,170404,1958,1689,21265,6447,153184,22292,153390,777891,771258,56.95666667,69.84125,282.8174247,1012.9,70.41666667,2015,January,13
2015-January-14,12614,20601,147689,167192,7915,9840,23713,75161,170382,2020,1769,17571,6421,144424,19065,143782,777011,770548,61.12083333,74.31291667,282.547825,1012.566667,71.99166667,2015,January,14
2015-January-15,11669,19023,99883,140654,8041,19552,24272,46188,170276,1843,1758,14019,6234,231358,15540,231791,783409,769865,47.53333333,60.20125,283.7542245,1007.408333,71.75,2015,January,15
2015-January-16,11764,17498,112220,133105,8135,23146,27369,48413,170439,2057,1782,16273,6286,242032,15678,237477,778688,771063,52.6625,66.00583333,281.9674833,1001.958333,79.76666667,2015,January,16
2015-January-17,11835,20146,111537,131875,6924,17838,26123,56712,170465,1919,1800,23879,6313,155437,21821,156034,704329,699060,46.59583333,59.28875,278.749162,1009.958333,72.51666667,2015,January,17
2015-January-18,11962,19400,113624,121868,6401,24782,25875,54956,170515,1936,1745,5985,6333,141072,5716,143470,670703,669016,42.88666667,57.35875,279.8729453,1001.116667,76.5,2015,January,18
2015-January-19,11248,19083,120014,154030,6907,16580,24943,53038,150607,1818,1559,16444,5754,159405,14986,175598,796141,794864,52.52,66.82125,279.1521208,1001.4,82.60833333,2015,January,19
2015-January-20,12653,21626,179722,186644,7627,6881,28345,94939,146291,2074,1820,11297,6377,102125,11125,102605,816226,817276,61.13,74.93541667,277.5461128,998.9666667,77.29166667,2015,January,20
2015-January-21,12855,21421,132671,177633,7833,15140,28167,64328,149167,2130,1836,14552,5849,202240,16407,201506,820429,820171,51.27958333,66.01291667,278.2782495,998.9416667,77.88333333,2015,January,21
2015-January-22,12864,19922,126489,171832,7859,18754,27051,49323,168044,2067,1781,19003,5422,237017,19079,236254,813810,814039,50.83041667,64.07541667,279.5669492,1002.966667,72.33333333,2015,January,22
2015-January-23,13152,18486,123527,173760,8067,16264,27091,50973,170391,2134,1761,29104,5411,210005,26712,210263,809934,803252,53.63083333,66.96083333,279.28345,1010.375,67.80833333,2015,January,23
2015-January-24,12245,12795,95319,137402,6722,18405,25697,47928,170305,1329,1836,31987,5249,207185,28082,206581,715411,717450,46.76583333,58.01625,278.4731443,1013.325,65.43333333,2015,January,24
2015-January-25,10655,10804,89416,93875,6152,32297,24650,38619,170328,583,1758,33764,5425,240443,30351,240619,670591,659271,40.7375,53.44541667,280.1039925,1015.225,56.40833333,2015,January,25
2015-January-26,11053,19878,128748,157369,7417,14509,26673,74613,170438,1210,1760,32515,5450,159866,29483,159849,789948,782764,58.05666667,70.80583333,278.6328833,1016.95,65.81666667,2015,January,26
2015-January-27,10585,18754,109879,161829,7437,11552,23258,52197,163371,1020,1696,27556,4925,192164,27047,201386,793986,790836,55.18666667,67.69833333,280.4157391,1017.916667,71.75833333,2015,January,27
2015-January-28,10922,10787,120116,157521,7575,12876,22276,60295,163250,1042,1758,26512,4855,173162,28806,178750,794428,749382,57.55458333,70.35166667,280.2435729,1012.941667,73.90833333,2015,January,28
2015-January-29,11589,89,90448,108399,7957,19592,25455,51468,170280,1029,1829,15860,4962,337166,17377,334143,794303,782670,43.30041667,56.1325,282.5720961,1001.816667,72.19166667,2015,January,29
2015-January-30,10780,0,84590,39959,7217,24350,30340,88163,170349,1068,1789,8506,4655,353881,9264,354910,772372,772336,32.93916667,46.49666667,285.6741602,988.2583333,77.68333333,2015,January,30
2015-January-31,9318,323,68018,32134,4699,23751,30390,91194,170444,1018,1556,17940,4479,313521,18910,313587,682971,689008,18.94208333,31.07916667,282.3857175,989.0416667,73.10833333,2015,January,31
2015-February-01,10720,7209,133043,130323,6847,10972,27044,93682,170347,1022,1811,26092,4891,60648,23498,61398,676771,345296,54.11916667,32.81916667,279.5388005,1000.241667,64.325,2015,February,1
2015-February-02,11622,0,111152,101319,6465,11582,33353,109605,170532,1795,1698,10531,4044,222949,10026,223005,786038,787009,47.32958333,61.59083333,279.73418,999.85,74.78333333,2015,February,2
2015-February-03,11460,0,116689,70571,6723,11742,37180,130081,170338,2003,1678,30347,5156,164355,29091,165192,713264,705421,43.20791667,56.57041667,280.4654711,995.675,80.5,2015,February,3
2015-February-04,9110,0,87973,45365,6263,13514,35014,66903,166834,1408,1440,55952,4143,132328,50917,132538,571334,569613,38.52541667,53.55208333,277.4202708,993.4833333,68.075,2015,February,4
2015-February-05,9443,916,114362,68419,6880,20486,28291,53361,96887,1813,1695,48280,3748,158587,45603,158684,567437,571116,40.47958333,57.11666667,277.4408,1001.266667,62.28333333,2015,February,5
2015-February-06,12631,22958,107389,173693,8412,1264,20000,79508,120214,2050,1635,59173,5815,61124,57396,61153,702175,704815,56.51333333,61.50583333,276.321168,1001.483333,64.05833333,2015,February,6
2015-February-07,11711,22641,166088,183191,8740,3301,16972,62382,144762,2070,1391,52159,5237,87479,52273,88140,760784,752996,63.66625,66.16791667,276.1817755,1007.641667,69.9,2015,February,7
2015-February-08,12232,10398,94439,120817,7140,25539,15103,33279,162017,1954,1572,56228,5532,116747,57141,116738,607210,596608,45.74166667,52.95666667,277.329718,1011.516667,70.46666667,2015,February,8
2015-February-09,11910,21709,129409,178635,8980,4120,14513,42158,163723,2020,1713,40829,6267,99405,40073,99448,717292,721142,58.49791667,66.16708333,278.9203333,1011.5,66.75,2015,February,9
2015-February-10,13458,19769,123976,161494,9605,8031,12397,49675,141924,2147,1723,40078,6350,74839,39195,74364,662841,667687,56.235,73.31916667,279.7393909,1008.516667,75.38333333,2015,February,10
2015-February-11,13613,925,119037,116126,6730,13074,16010,46704,121507,1853,1483,6400,6410,203591,6995,204278,626358,640832,46.48375,77.17708333,280.4180164,1008.85,78.48333333,2015,February,11
2015-February-12,11123,22642,228581,179590,9962,6395,19090,65008,132972,2222,1737,16698,5526,48780,17447,49395,756374,751614,65.99666667,77.94791667,281.37538,1005.85,84.75833333,2015,February,12
2015-February-13,10693,19807,116540,164488,8880,12868,30325,94968,169744,2080,1788,25900,5117,174527,24683,174305,792824,774351,50.73208333,63.72416667,283.2926039,1004.591667,77.6,2015,February,13
2015-February-14,9888,97,81842,57084,6976,38120,30031,75957,170509,1995,1753,9801,5064,294002,11551,291956,693721,693430,38.44416667,50.65458333,283.839138,1000.933333,78.43333333,2015,February,14
2015-February-15,9675,43,84053,49509,5502,37288,31351,78697,170510,1958,1565,12755,4816,243080,12950,242743,643298,638038,29.55625,43.89458333,284.4247982,1002.125,78.15,2015,February,15
2015-February-16,11056,11517,121353,106416,8284,12976,32361,100739,170531,2074,1683,14302,5034,182534,18013,181892,754518,746952,51.06166667,65.6575,283.5665484,1006.316667,74.64166667,2015,February,16
2015-February-17,11181,10063,92617,84264,8661,39829,31202,85550,170580,2121,1784,13978,4807,305184,14747,303593,754635,775269,39.37708333,52.99666667,282.5068138,1016.216667,69.68333333,2015,February,17
2015-February-18,11962,12776,119076,112409,8779,17170,31074,107341,170594,2166,1630,28243,5510,192589,27135,193447,789586,774281,46.62166667,60.54666667,282.5025583,1015.541667,70.14166667,2015,February,18
2015-February-19,12136,13079,147387,131533,9235,8329,32303,134775,170608,2164,1766,35102,5452,78842,33142,78914,783573,760927,56.29583333,70.765,281.8334372,1017.441667,68.525,2015,February,19
2015-February-20,11617,13630,127341,131734,9087,4319,33025,129064,170590,2053,1808,23677,4911,113966,22193,113658,769341,759059,52.08708333,65.74083333,281.2227786,11132.7,69.54166667,2015,February,20
2015-February-21,10844,115,88150,47279,6747,28955,30063,105134,170566,1974,1750,20561,4848,250960,18548,249925,686434,685006,33.83,45.97125,281.9853122,46379.21667,66.26666667,2015,February,21
2015-February-22,9680,0,80674,29751,5287,45047,28783,92168,170554,1981,1601,34823,4421,268695,32049,267530,632642,634953,16.87458333,31.66791667,282.2983458,24364.23333,57.81666667,2015,February,22
2015-February-23,11374,0,84849,35879,7755,28082,31981,99457,170506,2033,1607,13731,5076,331821,17160,330450,746834,753610,29.12958333,44.3525,283.3329878,1001.258333,69.325,2015,February,23
2015-February-24,10792,0,92125,34790,7517,22611,32158,111254,170526,2055,1723,34298,5479,322221,31088,321811,769744,771512,26.90875,42.3725,282.6381544,1006.8,62.875,2015,February,24
2015-February-25,11294,0,92523,45809,7559,12454,31573,109487,170432,1915,1788,33122,5443,300264,29439,299807,772966,766908,34.2275,48.83416667,283.5466703,1009.975,70.00833333,2015,February,25
2015-February-26,11725,0,98041,53255,7992,10009,32112,116554,170490,1637,1849,26298,4823,258649,28627,258877,757272,750975,40.78708333,54.82958333,285.5147836,1006.741667,75.54166667,2015,February,26
2015-February-27,11855,0,93183,54084,7707,18555,33671,115251,170477,1066,1872,37910,4881,254593,33038,255149,748949,733178,39.33916667,53.44041667,283.1671083,1019.55,68.65833333,2015,February,27
2015-February-28,11187,322,89943,52154,5925,22632,32874,108075,170440,1732,1844,29067,4887,191509,27204,190286,659543,652841,35.7075,47.22458333,283.067963,1006.35,77.375,2015,February,28
2015-March-01,11279,7246,120558,142188,6551,11040,25349,62391,170373,1067,1791,27538,5402,94419,24521,92677,639340,664443,52.91,38.98,286.8024693,1010.6,75.05833333,2015,March,1
2015-March-02,11656,0,111497,117761,7444,18765,35111,93692,161297,2144,1794,12535,4630,264466,13162,263988,809121,804476,44.29291667,57.51875,288.0572036,1008.983333,77.88333333,2015,March,2
2015-March-03,9815,0,135236,100752,7331,6762,38761,147130,169307,1960,1595,31412,5274,62248,31973,61960,720525,705998,53.92875,66.03625,286.8246586,1009.183333,81.03333333,2015,March,3
2015-March-04,9177,0,99564,40916,5973,21473,32549,57967,165398,1046,1406,41877,3988,112694,36501,112477,523211,519445,35.6525,47.02416667,285.2597727,1024.991736,71.1322314,2015,March,4
2015-March-05,8619,952,124637,64146,5924,15736,29412,61890,97253,1895,1615,21466,3601,128926,27294,130470,555666,551155,39.26,41.6625,283.8994294,1030.925,44.19166667,2015,March,5
2015-March-06,12602,23031,115276,172770,8544,2755,19400,72259,120458,2019,1636,58536,6261,92527,58026,92797,709713,711267,55.67958333,61.18791667,283.6498672,1030.008333,49.33333333,2015,March,6
2015-March-07,11082,22037,126072,172418,9617,6680,17751,45355,144482,2019,1646,57755,5263,171674,58414,170337,756685,761622,60.23458333,57.54625,285.0810906,1027.75,58.58333333,2015,March,7
2015-March-08,12104,18746,142147,169727,8125,3098,15739,47365,161256,2001,1476,38795,4578,107681,45734,106631,720526,727717,60.84083333,51.38708333,284.8888815,1024.25,62.89166667,2015,March,8
2015-March-09,10993,20184,120099,164015,9076,6527,14780,36921,164252,2082,1733,37668,6450,131624,39404,131830,703834,700779,54.79833333,58.5975,285.6588214,1024.091667,64.725,2015,March,9
2015-March-10,13582,17974,117886,149033,7619,7706,12236,42646,136228,2015,1682,15792,6272,66337,20889,66037,591939,598086,49.89625,64.65666667,285.2485727,1024.85,69.05833333,2015,March,10
2015-March-11,13366,4347,122129,145118,8867,20162,17820,44557,121729,1286,1504,10556,6521,195418,10315,195805,691150,683982,48.82333333,60.0775,285.4974313,1017.458333,71.64166667,2015,March,11
2015-March-12,10206,20861,180945,173023,9898,10136,16871,33668,145808,2137,1702,24395,5216,106517,23292,106036,747076,741586,60.86875,58.5775,285.2698979,1020.766667,68.825,2015,March,12
2015-March-13,12817,0,96006,81756,7457,10803,37534,101991,170187,2021,1681,38490,3719,170059,38863,170227,695070,700517,42.05041667,53.545,283.1577078,1021.916667,76.08333333,2015,March,13
2015-March-14,12051,0,91366,61750,6527,13327,34715,78661,161404,2034,1595,42857,3800,166182,42382,166575,637930,642821,40.76333333,51.34291667,281.2154,1021.016667,74.60833333,2015,March,14
2015-March-15,11670,0,102654,77120,6382,15481,33539,79407,164138,2028,1555,43092,3693,89928,43711,91003,603295,601842,41.54583333,53.94,280.6669594,1017.925,66.68333333,2015,March,15
2015-March-16,11526,5429,138259,132942,7233,8600,34090,124829,169466,2002,1581,46291,3655,50192,46791,50453,715910,717918,54.13458333,67.42083333,280.5258117,1018.008333,73.29166667,2015,March,16
2015-March-17,11122,6810,107752,136678,7669,8739,31891,110291,170298,1924,1605,17526,3371,137870,24414,139198,730195,735911,46.43458333,58.13625,281.5193284,1016.891667,75.025,2015,March,17
2015-March-18,11129,5500,107711,118181,7571,9870,29844,118648,170362,1993,1596,8084,3876,155735,12028,155196,727081,740790,46.34583333,58.3025,282.5842719,1017.533333,82.96666667,2015,March,18
2015-March-19,10809,0,95243,78276,7815,11403,29296,62516,170338,1926,1585,11437,3179,236252,14096,235719,675566,691578,38.51708333,51.32791667,283.7046466,1015.275,85.36666667,2015,March,19
2015-March-20,11102,0,93608,66673,7559,19857,29367,73714,170325,1933,1593,8943,3429,279813,14080,280133,684263,713864,39.53375,51.705,283.8070925,1005.322314,88.02479339,2015,March,20
2015-March-21,11305,0,101405,61690,6808,11692,30319,92057,170351,1929,1521,10079,3463,183795,11822,183527,647353,654472,43.16208333,54.23625,283.11348,1008.575,94.075,2015,March,21
2015-March-22,10937,0,96416,39247,6281,25179,29313,63343,170344,1439,1482,13299,3397,181916,14210,181812,608563,610118,40.89333333,53.53833333,282.9119789,1010.108333,90.54166667,2015,March,22
2015-March-23,10912,16051,125151,105728,7587,7603,30903,106280,170313,1018,1558,11434,3568,137053,13224,136888,732657,734208,52.65416667,65.13125,282.2651414,1008.583333,91.68333333,2015,March,23
2015-March-24,11205,12127,105638,106854,8136,12846,29040,80744,170358,1037,1632,12692,3638,216966,13861,217688,746395,749951,46.17875,57.68666667,282.1156664,1005.358333,90.10833333,2015,March,24
2015-March-25,11336,0,93213,75473,8255,26243,29222,58033,170307,1110,1618,36398,4230,298847,34253,282507,751268,742187,42.62916667,54.34458333,280.9128328,1009.766667,72.95,2015,March,25
2015-March-26,10736,0,99639,84543,8683,9406,28357,64610,169495,1802,1582,23801,4014,253234,27475,244939,752414,722919,45.00166667,56.3775,282.4262469,1016.375,71.13333333,2015,March,26
2015-March-27,11197,0,101752,86142,8892,10314,31918,69553,170217,1980,1625,46544,3438,230723,44896,231485,721645,711378,46.24375,58.03708333,286.3600834,1023.366667,72.35833333,2015,March,27
2015-March-28,11589,0,92077,51425,6949,28741,31217,57859,170212,1938,1583,53921,3528,171394,52120,171390,622688,620957,43.43625,55.62125,287.7674599,1025.35,69.36666667,2015,March,28
2015-March-29,10378,0,86742,31503,5757,53985,30852,51539,170178,1919,1501,43455,3133,181084,42054,180620,570287,565878,30.70041667,45.70166667,287.7474956,1018.033333,66.425,2015,March,29
2015-March-30,10970,0,93638,64614,8159,18887,32293,68549,170059,1953,1531,51327,3344,198109,49601,198568,660771,660648,42.135,55.49541667,289.0678211,1016.608333,61.46666667,2015,March,30
2015-March-31,10973,543,89405,79208,8802,13175,33691,79865,170026,1940,1577,55703,3940,148342,53909,148279,666964,664185,43.715,54.69291667,288.6994044,1026.016667,64.80833333,2015,March,31
2015-April-01,11549,6018,109454,129878,6389,19348,25169,55983,168270,1078,1809,27929,5761,111067,25268,111322,622715,636044,45.15166667,43.95416667,287.6156677,1026.308333,64.725,2015,April,1
2015-April-02,11310,0,117700,114432,7449,15705,34879,94702,146640,2136,1715,22390,4771,296391,23465,295155,822378,819016,40.55583333,52.59,286.3600214,1024.15,65.7,2015,April,2
2015-April-03,10492,0,93996,53956,7120,23180,38589,116662,156533,1977,1524,33493,5068,244284,29887,243427,714111,710545,34.60083333,53.35458333,286.9545625,1018.583333,65.825,2015,April,3
2015-April-04,8154,0,87387,39810,6197,18484,30719,62150,164047,1007,1356,41649,3925,168527,42243,168361,552632,548145,26.66333333,39.60625,286.5037094,1014,69.51666667,2015,April,4
2015-April-05,9304,1875,115851,89571,8209,7478,30999,57963,98607,1916,1694,18512,3639,207255,23395,205747,653184,648367,45.20208333,39.93958333,286.0142498,1012.575,69.00833333,2015,April,5
2015-April-06,12041,22943,114619,161694,8371,2692,18545,65305,121828,1938,1641,62060,6575,105877,60313,104864,706745,698015,56.4375,52.66125,285.7703289,1017.608333,65.80833333,2015,April,6
2015-April-07,11815,22333,120872,169364,7779,9351,16856,41993,144908,2017,1630,54439,5305,105775,55126,105959,698266,688603,56.75166667,57.68125,285.2137208,1023.858333,62.85,2015,April,7
2015-April-08,12144,21751,155542,181740,8071,147,15869,59057,160917,2030,1623,51736,5720,58084,51615,58887,727224,734134,61.00875,54.20375,285.2943151,1025.266667,58.49166667,2015,April,8
2015-April-09,11757,17931,118673,150292,8920,5219,14594,37929,161532,2095,1737,33416,6652,118509,34830,118620,690942,675418,54.39166667,63.22375,284.5250578,1024.275,72.2,2015,April,9
2015-April-10,12958,1621,98290,64915,7592,37456,12400,20067,117834,1906,1603,12080,6202,208821,14172,207659,551037,560770,37.49583333,67.15541667,285.4842052,1022.5,75.1,2015,April,10
2015-April-11,13227,12085,131708,164715,9134,8570,18265,54190,123114,1324,1602,14435,6351,112436,13419,112110,687015,687926,51.46833333,60.28083333,285.302374,1023.683333,81.175,2015,April,11
2015-April-12,10960,20545,200022,171146,9388,7523,18473,58744,148172,2066,1751,22515,5306,60089,20223,60703,734794,727282,62.39541667,47.14375,286.6420216,1024.716667,71.975,2015,April,12
2015-April-13,9734,0,99919,79875,7896,21005,30100,48727,170131,929,1487,48334,3838,205004,48881,204231,663389,657677,47.1275,59.165,287.961355,1025.133333,58.54166667,2015,April,13
2015-April-14,9565,0,92949,105173,7944,9697,29664,50938,170130,912,1525,25629,4008,216809,31646,217273,668207,673259,43.27583333,54.90375,289.3792096,1021.433333,52.34166667,2015,April,14
2015-April-15,9689,14817,119945,110944,8125,5898,30454,68889,170156,913,1572,15477,4121,125121,18117,125630,673112,681002,50.09291667,61.54583333,287.9894175,1016.591667,68.26666667,2015,April,15
2015-April-16,9558,21003,114443,108525,8867,2775,24310,57173,162993,966,1704,21186,4022,104098,23714,108436,678570,640069,50.60166667,61.945,287.0907508,1015.525,79.71666667,2015,April,16
2015-April-17,9554,21878,133143,115334,9593,5329,23452,69564,170003,1018,1892,35945,4011,53237,34722,53841,671985,668361,56.63875,68.00666667,288.1500623,1016.575,75.51666667,2015,April,17
2015-April-18,9165,11567,108684,87510,7764,15300,22768,49755,158104,1016,1812,41252,3797,99533,41727,98709,596885,595953,47.13875,58.335,287.2612922,1014.366667,71.88333333,2015,April,18
2015-April-19,9158,1911,107934,84037,6954,16328,22461,53439,162649,992,1719,47468,3517,78769,44453,78969,556423,551036,41.66291667,54.91208333,286.2249581,1015.383333,65.95,2015,April,19
2015-April-20,9987,12927,116176,125862,8739,5432,23341,64855,167793,989,1587,52622,3575,68110,46463,67676,655637,625792,54.32791667,66.17041667,287.1042917,1019.716667,65.13333333,2015,April,20
2015-April-21,9925,11367,97851,111692,8868,14981,21486,53223,150366,981,1552,41193,4153,183301,40594,183383,668758,666400,48.18333333,60.13583333,288.4047945,1014.033333,65.00833333,2015,April,21
2015-April-22,9587,13330,119823,124328,8465,8950,22876,65897,144947,968,1441,37641,4308,109879,36729,110429,668679,663569,51.09666667,63.325,288.3732477,1005.541667,70.75,2015,April,22
2015-April-23,9100,16168,122678,132395,8281,3492,22816,70752,138725,984,1655,47550,4423,28289,44018,29646,649707,619671,61.57916667,73.10833333,288.1678732,1003.233333,72.39166667,2015,April,23
2015-April-24,9418,20100,138400,136241,8961,5025,22830,61598,149630,1027,1848,22887,4667,73165,25577,72985,652769,656340,55.58875,68.87166667,288.7823281,1001.091667,69.95,2015,April,24
2015-April-25,9506,87,122978,74216,7036,14612,21963,46585,144750,1556,1795,15966,4408,134086,18734,134474,587240,597600,42.75208333,58.42625,289.5107224,999.575,69.63333333,2015,April,25
2015-April-26,9224,0,118543,61206,6140,27851,23875,52587,129096,1991,1689,15773,3290,157818,18343,157298,552918,558531,31.79166667,50.1075,288.160137,994.15,82.04166667,2015,April,26
2015-April-27,9412,1,104621,89079,8305,14093,25020,55710,120536,2068,1713,27400,3453,236959,28885,236613,661212,658289,44.03333333,57.09333333,286.7897474,999.4416667,79.04166667,2015,April,27
2015-April-28,9118,17705,133564,129679,8898,8654,27115,74513,120574,2121,1795,49952,4256,87374,43345,88619,668338,663377,56.55083333,69.16416667,287.691806,1002.875,71.98333333,2015,April,28
2015-April-29,9377,22925,130574,147278,9011,8008,25936,75613,110900,1108,1765,54160,4527,64229,52204,63771,663634,666521,59.16416667,70.90125,288.1284385,1004.341667,71.9,2015,April,29
2015-April-30,9374,19724,109341,145609,8788,6783,26404,64895,103057,1004,1807,54341,4442,123257,51456,122748,667706,668088,53.29416667,64.1725,289.8021148,1003.4,70.15,2015,April,30
2015-May-01,11883,13712,151814,148183,7316,9788,26510,81287,168262,1111,1802,24124,5808,59121,23816,59374,736547,685662,57.66625,55.52083333,292.6017391,999.6166667,59.85833333,2015,May,1
2015-May-02,11385,2461,122163,114752,7907,18518,33520,99673,154476,2188,1738,31674,4982,277188,29163,278603,836897,777642,41.41541667,54.7025,293.9059247,998.2666667,58.43333333,2015,May,2
2015-May-03,10326,0,96932,36564,6467,21094,37283,118252,150167,1886,1510,44849,4923,254852,40562,254834,720888,719785,27.56541667,56.4775,293.8777125,995.6333333,56.84166667,2015,May,3
2015-May-04,7769,0,81168,31477,6144,41322,29897,64884,163996,983,1299,44707,3859,174772,43241,175289,536083,531179,23.44166667,56.25958333,293.3974292,993.675,61.73333333,2015,May,4
2015-May-05,9268,16541,111551,108518,8632,12385,32899,85977,98645,1976,1710,35199,3538,168967,34914,170418,671793,679704,46.67666667,59.71166667,291.3297445,998.075,57.075,2015,May,5
2015-May-06,12905,23100,119548,157331,8049,3315,18407,66350,122012,1986,1749,61664,6594,102005,60099,102564,702990,704529,56.20041667,71.47125,289.3318284,1002.158333,63.45833333,2015,May,6
2015-May-07,12160,21664,106083,164534,7370,10889,16229,39331,144702,2081,1528,54842,5256,95987,55230,96471,634183,652941,50.7025,59.42166667,291.1660625,1001.8,61.55833333,2015,May,7
2015-May-08,12363,22344,130004,175166,8386,4162,15708,61466,160974,2006,1647,53985,6219,88376,53847,90674,731301,739096,60.505,53.14375,291.8176844,1004.016667,63.88333333,2015,May,8
2015-May-09,11419,16467,97433,126923,7120,11787,14305,37313,161786,2085,1663,22601,6192,122726,24588,122715,599743,596495,50.50166667,62.92041667,292.2894961,1007.833333,66.15,2015,May,9
2015-May-10,12815,771,99351,72373,8948,22343,15724,29452,117384,1908,1601,9786,6148,292435,10659,289232,680603,677866,42.1575,54.99833333,293.8217266,1007.491667,59.25833333,2015,May,10
2015-May-11,13392,14010,125597,156746,8964,8657,18652,57759,123069,1327,1664,16913,6448,121076,17874,121230,687521,683578,51.07375,63.64083333,293.5591318,1006.783333,57.28333333,2015,May,11
2015-May-12,11715,20542,151476,171651,7654,8335,16519,28398,144126,2098,1728,22105,5574,73969,22508,73653,649934,656871,58.43791667,63.43833333,294.2011422,1006.316667,57.45,2015,May,12
2015-May-13,11915,20882,107284,107239,8814,4228,25809,94522,121168,1991,1684,36168,3695,142293,41793,143006,701043,699439,49.43875,60.45,296.6208055,1006.175,50.88333333,2015,May,13
2015-May-14,11943,86,93173,85981,8853,8987,23694,85725,121021,2055,1686,44837,3788,213602,46592,213496,703300,712449,42.855,54.25625,296.0799581,1000.058333,50.49166667,2015,May,14
2015-May-15,13135,0,89135,59279,8749,14718,22902,69024,121285,2057,1819,57986,4028,220059,53370,220910,674571,665553,44.16208333,55.33958333,291.9794458,1003.366667,53.5,2015,May,15
2015-May-16,11922,0,87469,34109,6733,29013,21820,76209,121126,2059,1714,61595,3934,216238,58428,215758,594376,599118,32.77583333,44.93333333,291.7675333,1008.175,57.45833333,2015,May,16
2015-May-17,11635,2,99825,27330,6478,29493,21660,61794,120874,2013,1606,63005,4162,189076,60573,189287,554963,560910,31.28458333,45.37791667,291.9600294,1005.983333,63.775,2015,May,17
2015-May-18,11964,6358,125120,91632,8637,5681,24189,92342,121101,2091,1706,53340,4317,115749,54851,115550,668588,676009,51.05083333,62.68416667,292.045431,998.9666667,60.1,2015,May,18
2015-May-19,10876,0,93408,79389,9181,12238,21531,71904,121293,2118,1782,45725,3819,213908,46925,213556,685251,682464,42.21541667,53.77208333,290.0161961,997.225,74.06666667,2015,May,19
2015-May-20,11090,0,97510,84689,8874,5179,21379,68236,121196,2169,1884,53556,4690,171914,53483,172496,683704,666946,45.88291667,57.41416667,288.4323622,1004.066667,67.38333333,2015,May,20
2015-May-21,12672,0,92549,69181,8857,7531,20228,66511,121454,2156,1932,56883,4605,212318,57007,211548,670096,664459,43.83291667,55.0625,288.5111745,1008.366667,63.41666667,2015,May,21
2015-May-22,13319,0,93451,58815,8846,8587,20324,63494,121502,2137,1893,59536,4677,222607,56930,222478,662678,666291,43.65791667,55.49833333,288.5830081,1006.716667,67.91666667,2015,May,22
2015-May-23,11930,0,83774,47979,6418,16277,18979,51553,121328,2081,1779,59526,4674,210072,56966,209856,597294,600245,33.81416667,46.91375,289.6158253,1002.641667,66.53333333,2015,May,23
2015-May-24,12086,0,94848,44395,6044,19851,19041,47799,117271,2063,1656,40394,4660,170384,40205,171899,554801,550044,32.63291667,46.42958333,289.9471789,1001.358333,67.40833333,2015,May,24
